comparison,parent_name,child_name,no_new_information,mae_parent_clean,mae_child_clean,dMAE_observed,dMAE_boot_mean,ci_lo,ci_hi,p_le_zero,t_stat,t_p,fold_dmae_0,fold_dmae_1,fold_dmae_2,fold_dmae_3,fold_dmae_4,verdict,pre_audit_mae_parent,pre_audit_mae_child
00c->01c,baseline_full,mri_drop_structure,True,2.985247353224802,2.9760610041313056,0.009186349093496471,0.009117356348702078,-0.0449276402891323,0.06335606576735969,0.3708,0.1763185481550787,0.8686106309107157,0.13251376682377947,-0.10308324783432266,-0.1264590469714144,0.06792985684531239,0.07490032459468488,overturned,,
00c->02c,baseline_full,mri_drop_resting,True,2.985247353224802,2.986100114833113,-0.0008527616083111589,-0.0007221945228255774,-0.025210158113632197,0.024507070553436677,0.5244,-0.0685752547239471,0.9486188842782172,-0.027155504294499533,-0.0010169717095931396,-0.0027861391480548114,-0.014333975674860167,0.04134015870060059,overturned,,
00c->03c,baseline_full,mri_drop_motor_gforce,True,2.985247353224802,2.9893959872250053,-0.004148634000203266,-0.004206513168430547,-0.0177737120420454,0.009057412069678588,0.7298,-0.632463682466533,0.5614332274467727,0.017754420313976116,-0.01772613814109114,-0.016003679447409436,0.0029598028822417355,-0.007825523257828149,overturned,,
00c->04c,baseline_full,mri_drop_memory_mst,True,2.985247353224802,2.989134661145991,-0.003887307921188743,-0.0037927647888087277,-0.016261912363681852,0.00831268679601752,0.7251,-1.0400495963472665,0.35704906961294586,-0.0032722103303819416,0.004328122520180777,-0.014375604158390676,-0.010297487101055935,0.004076750898622361,overturned,,
00c->05c,baseline_full,mri_drop_language_speechcomp,True,2.985247353224802,2.9910064921447503,-0.005759138919948281,-0.005687625107368499,-0.014079532332736133,0.0025765808068769474,0.9134,-1.2039123170268196,0.2949939837980794,-0.011559252859298486,0.0051772199435946575,-0.021242451762182757,0.0020024750430320815,-0.0032341113757574647,overturned,,
00c->06c,baseline_full,mri_drop_language_wordname,True,2.985247353224802,2.9864632642237616,-0.0012159109989595684,-0.0011806570009727602,-0.007619651454416942,0.005393075711417936,0.6413,-0.27716743632458263,0.7953856379169736,-0.014309368170741799,0.004798476788913764,-0.001015161867995218,0.010707211023192276,-0.006177429598939188,overturned,,
00c->07c,baseline_full,mri_drop_task_fmri_all,True,2.985247353224802,3.0019324173990403,-0.016685064174238207,-0.016557897916114065,-0.037810878469049805,0.0045349915794354705,0.9415,-2.3540166999530157,0.07817168718684389,-0.008948214671482546,-0.00955322583553242,-0.04287428836297691,-0.002443797773532097,-0.019780719966977056,overturned,,
00c->08c,baseline_full,eeg_drop_resting,True,2.985247353224802,3.010555997667357,-0.025308644442554762,-0.025066446822135886,-0.05891318334466015,0.007951817668792762,0.9308,-2.3678946541660544,0.07699734121211158,-0.04086816117458847,-0.025846367322191366,-0.022351710684025416,-0.049772366193651774,0.01248476245123209,overturned,,
00c->09c,baseline_full,eeg_drop_motor_gofitts,True,2.985247353224802,3.031213113947839,-0.04596576072303682,-0.04614409587134421,-0.09482627471316953,0.0021435502216163946,0.9691,-2.7024209664764314,0.05395885443720721,-0.035157647175529494,-0.029107308973757462,-0.011480098538356298,-0.04358469566586409,-0.1108245422651657,overturned,,
00c->10c,baseline_full,eeg_drop_memory_ospan,True,2.985247353224802,2.969025891020372,0.016221462204430104,0.016166880432007893,-0.013022782917770467,0.04478134625238044,0.1363,0.9972324364696449,0.3750907954485543,0.054378435606370346,-0.043507146852288514,0.014563351192964369,0.031369165415156886,0.024557289608827304,overturned,,
00c->11c,baseline_full,eeg_drop_memory_exclusion,True,2.985247353224802,2.9673501596766227,0.017897193548179313,0.01793182600759831,-0.0053835465358227355,0.04243105898352981,0.0699,2.0989323998216087,0.10377828900874883,-0.006594584393037284,0.009095064135949738,0.04316352590882033,0.01449883034008792,0.029714824776766235,overturned,,
00c->12c,baseline_full,eeg_drop_motor_bilpress,True,2.985247353224802,2.988669410470632,-0.0034220572458298903,-0.003479638719664244,-0.03365463337065835,0.02778551806100745,0.5911,-0.35421801769507477,0.741059560753408,-0.030255613939488946,-0.008387850671659258,0.010958507886829949,0.023861226570165872,-0.012912446073587436,overturned,,
00c->13c,baseline_full,eeg_drop_task_eeg_all,True,2.985247353224802,3.0100668391361105,-0.024819485911308448,-0.025177269044393758,-0.0943095530518075,0.041848896317732365,0.7609,-0.5968995499537791,0.5827178040250323,-0.05479836629096191,-0.009882365097988455,0.06686185712898318,0.04190138725554027,-0.1680029806748644,overturned,,
